Item ID,Name,Category,Description,Variant 1 - Name,Variant 1 - Price,Variant 1 - SKU,Variant 2 - Name,Variant 2 - Price,Variant 2 - SKU,Variant 3 - Name,Variant 3 - Price,Variant 3 - SKU,Tax - Moms (25%)
,Sony MDR-EX37B Yellow,HIS,Sony MDR-EX37B Yellow,Sony MDR-EX37B Yellow,.000000,,,,,,,,Y
,Sony MDR-EX37B Black,HIS,Sony MDR-EX37B Black,Sony MDR-EX37B Black,.000000,,,,,,,,Y
,Sony MDR-EX37B Blue,HIS,Sony MDR-EX37B Blue,Sony MDR-EX37B Blue,.000000,,,,,,,,Y
,Sony MDR-AS600BT Sport Bluetooth Blue,HIMSW,Sony MDR-AS600BT Sport Bluetooth Blue,Sony MDR-AS600BT Sport Bluetooth Blue,.000000,,,,,,,,Y
,Sony MDR-AS600BT Sport Bluetooth Orange,HIMSW,Sony MDR-AS600BT Sport Bluetooth Orange,Sony MDR-AS600BT Sport Bluetooth Orange,.000000,,,,,,,,Y
,Sony MDR-AS600BT Sport Bluetooth Black,HIMSW,Sony MDR-AS600BT Sport Bluetooth Black,Sony MDR-AS600BT Sport Bluetooth Black,.000000,,,,,,,,Y
,Sony MDR-AS600BT Sport Bluetooth White,HIMSW,Sony MDR-AS600BT Sport Bluetooth White,Sony MDR-AS600BT Sport Bluetooth White,.000000,,,,,,,,Y
,Sony MDR-EX450 Grey,HIMS,Sony MDR-EX450 Grey,Sony MDR-EX450 Grey,.000000,,,,,,,,Y
,Sony MDR-EX450 Green,HIMS,Sony MDR-EX450 Green,Sony MDR-EX450 Green,.000000,,,,,,,,Y
,Sony MDR-EX650AP in-ear-hovedtelefoner,HIMS,Sony MDR-EX650AP in-ear-hovedtelefoner,Sony MDR-EX650AP in-ear-hovedtelefoner,.000000,,,,,,,,Y
,Sony XBA-H1 Balanced Armature in-ear-hovedtelefoner,HIS,Sony XBA-H1 Balanced Armature in-ear-hovedtelefoner,Sony XBA-H1 Balanced Armature in-ear-hovedtelefoner,.000000,,,,,,,,Y
,Sony h.ear go Bluetooth/Wi-Fi højttaler Pink,T,Sony h.ear go Bluetooth/Wi-Fi højttaler Pink,Sony h.ear go Bluetooth/Wi-Fi højttaler Pink,.000000,,,,,,,,Y
,Sony h.ear go Bluetooth/Wi-Fi højttaler Red,T,Sony h.ear go Bluetooth/Wi-Fi højttaler Red,Sony h.ear go Bluetooth/Wi-Fi højttaler Red,.000000,,,,,,,,Y
,Sony h.ear go Bluetooth/Wi-Fi højttaler Yellow,T,Sony h.ear go Bluetooth/Wi-Fi højttaler Yellow,Sony h.ear go Bluetooth/Wi-Fi højttaler Yellow,.000000,,,,,,,,Y
,Sony h.ear go Bluetooth/Wi-Fi højttaler Blue,T,Sony h.ear go Bluetooth/Wi-Fi højttaler Blue,Sony h.ear go Bluetooth/Wi-Fi højttaler Blue,.000000,,,,,,,,Y
,Sony h.ear go Bluetooth/Wi-Fi højttaler Black,T,Sony h.ear go Bluetooth/Wi-Fi højttaler Black,Sony h.ear go Bluetooth/Wi-Fi højttaler Black,.000000,,,,,,,,Y
,Sony SRS-ZR7 trådløs højttaler med Bluetooth/Wi-Fi Black,T,Sony SRS-ZR7 trådløs højttaler med Bluetooth/Wi-Fi Black,Sony SRS-ZR7 trådløs højttaler med Bluetooth/Wi-Fi Black,.000000,,,,,,,,Y
,Sony SRS-ZR7 trådløs højttaler med Bluetooth/Wi-Fi White,T,Sony SRS-ZR7 trådløs højttaler med Bluetooth/Wi-Fi White,Sony SRS-ZR7 trådløs højttaler med Bluetooth/Wi-Fi White,.000000,,,,,,,,Y
,Sony SRS-X99 Trådløs højttaler med Wi-Fi/Bluetooth,T,Sony SRS-X99 Trådløs højttaler med Wi-Fi/Bluetooth,Sony SRS-X99 Trådløs højttaler med Wi-Fi/Bluetooth,.000000,,,,,,,,Y
,Sony h.ear in NC Yellow,HIMNS,Sony h.ear in NC Yellow,Sony h.ear in NC Yellow,.000000,,,,,,,,Y
,Sony h.ear in NC Pink,HIMNS,Sony h.ear in NC Pink,Sony h.ear in NC Pink,.000000,,,,,,,,Y
,Sony h.ear in NC Red,HIMNS,Sony h.ear in NC Red,Sony h.ear in NC Red,.000000,,,,,,,,Y
,Sony h.ear in NC Blue,HIMNS,Sony h.ear in NC Blue,Sony h.ear in NC Blue,.000000,,,,,,,,Y
,Sony h.ear in NC Black,HIMNS,Sony h.ear in NC Black,Sony h.ear in NC Black,.000000,,,,,,,,Y
,Sony PS-HX500 USB-pladespiller,P,Sony PS-HX500 USB-pladespiller,Sony PS-HX500 USB-pladespiller,.000000,,,,,,,,Y
,Audio-Technica AT-PHA100,DP,Audio-Technica AT-PHA100,Audio-Technica AT-PHA100,.000000,,,,,,,,Y
,Audio-Technica ATH-ANC9,HMNS,Audio-Technica ATH-ANC9,Audio-Technica ATH-ANC9,1749.000000,,,,,,,,Y
,Audio-Technica ATH-ANC70,HMNS,Audio-Technica ATH-ANC70,Audio-Technica ATH-ANC70,1199.000000,,,,,,,,Y
,Sony DR-ZX301IP Red,HMS,Sony DR-ZX301IP Red,Sony DR-ZX301IP Red,.000000,,,,,,,,Y
